"Index","Section","Title","Source","Final"
"38","成長の軌跡","年輪","source/idea_038_chroma.png","idea_038.png"
"39","成長の軌跡","マイルストーン","source/idea_039_chroma.png","idea_039.png"
"40","成長の軌跡","積み重なるフレーム","source/idea_040_chroma.png","idea_040.png"
"41","未公開","閉じた余白","source/idea_041_chroma.png","idea_041.png"
"42","未公開","封印","source/idea_042_chroma.png","idea_042.png"
"43","未公開","隠れたコマ","source/idea_043_chroma.png","idea_043.png"
"44","未公開","伏せられた時間","source/idea_044_chroma.png","idea_044.png"
"45","未公開","未公開フォルダ","source/idea_045_chroma.png","idea_045.png"
"46","自分だけが持つ","One of One","source/idea_046_chroma.png","idea_046.png"
"47","自分だけが持つ","所有タグ","source/idea_047_chroma.png","idea_047.png"
"48","自分だけが持つ","指紋","source/idea_048_chroma.png","idea_048.png"
"49","自分だけが持つ","手元のしおり","source/idea_049_chroma.png","idea_049.png"
"50","自分だけが持つ","唯一の印","source/idea_050_chroma.png","idea_050.png"
"51","特別感","静かな光輪","source/idea_051_chroma.png","idea_051.png"
"52","特別感","小さなスポット","source/idea_052_chroma.png","idea_052.png"
"53","特別感","記念印","source/idea_053_chroma.png","idea_053.png"
"54","特別感","浮いた一点","source/idea_054_chroma.png","idea_054.png"
"55","特別感","内側の輝き","source/idea_055_chroma.png","idea_055.png"
"56","所有感（所有間）","包む括弧","source/idea_056_chroma.png","idea_056.png"
"57","所有感（所有間）","透かし","source/idea_057_chroma.png","idea_057.png"
"58","所有感（所有間）","ポケット","source/idea_058_chroma.png","idea_058.png"
"59","所有感（所有間）","確認済み","source/idea_059_chroma.png","idea_059.png"
"60","所有感（所有間）","手の中の記録","source/idea_060_chroma.png","idea_060.png"
"61","可能性","芽","source/idea_061_chroma.png","idea_061.png"
"62","可能性","未完の線","source/idea_062_chroma.png","idea_062.png"
"63","可能性","外へ出るフレーム","source/idea_063_chroma.png","idea_063.png"
"64","可能性","夜明け前","source/idea_064_chroma.png","idea_064.png"
"65","可能性","点線の未来","source/idea_065_chroma.png","idea_065.png"
"66","成長性","伸びる線分","source/idea_066_chroma.png","idea_066.png"
"67","成長性","広がる輪","source/idea_067_chroma.png","idea_067.png"
"68","成長性","積み上げ","source/idea_068_chroma.png","idea_068.png"
"69","成長性","枝分かれ","source/idea_069_chroma.png","idea_069.png"
"70","成長性","更新される印","source/idea_070_chroma.png","idea_070.png"
"71","ステージの幕の裏側","幕の裏面","source/idea_071_chroma.png","idea_071.png"
"72","ステージの幕の裏側","幕の隙間","source/idea_072_chroma.png","idea_072.png"
"73","ステージの幕の裏側","裏からの光","source/idea_073_chroma.png","idea_073.png"
"74","ステージの幕の裏側","開演前の布","source/idea_074_chroma.png","idea_074.png"
"75","ステージの幕の裏側","幕裏のタグ","source/idea_075_chroma.png","idea_075.png"
"76","ステージ袖の上から垂れ下がっている暗幕で待機している部分","袖幕の影","source/idea_076_chroma.png","idea_076.png"
"77","ステージ袖の上から垂れ下がっている暗幕で待機している部分","出番待ちの点","source/idea_077_chroma.png","idea_077.png"
"78","ステージ袖の上から垂れ下がっている暗幕で待機している部分","暗幕の折り目","source/idea_078_chroma.png","idea_078.png"
"79","ステージ袖の上から垂れ下がっている暗幕で待機している部分","袖の境界線","source/idea_079_chroma.png","idea_079.png"
"80","ステージ袖の上から垂れ下がっている暗幕で待機している部分","待機の呼吸","source/idea_080_chroma.png","idea_080.png"
"81","スポットライトが当たらないステージの部分","光の外側","source/idea_081_chroma.png","idea_081.png"
"82","スポットライトが当たらないステージの部分","ステージ端","source/idea_082_chroma.png","idea_082.png"
"83","スポットライトが当たらないステージの部分","影のスポット","source/idea_083_chroma.png","idea_083.png"
"84","スポットライトが当たらないステージの部分","暗転の中の印","source/idea_084_chroma.png","idea_084.png"
"85","スポットライトが当たらないステージの部分","スポットの境界","source/idea_085_chroma.png","idea_085.png"
